Elevation (deg),785 nm,Top_of_Atmosphere_RAW,Ground_RAW,785_clear_MODTRAN
0,5.1437E-34,1.745E-03,8.977E-37,4.69E-04
1,2.0704E-04,1.745E-02,3.613E-06,1.48E-02
2,9.6597E-03,3.490E-02,3.371E-04,5.96E-02
3,3.4863E-02,5.234E-02,1.825E-03,1.23E-01
4,6.6347E-02,6.976E-02,4.628E-03,1.90E-01
5,9.7777E-02,8.716E-02,8.522E-03,2.54E-01
6,1.2680E-01,1.045E-01,1.325E-02,3.12E-01
7,1.5285E-01,1.219E-01,1.863E-02,3.63E-01
8,1.7598E-01,1.392E-01,2.449E-02,4.08E-01
9,1.9648E-01,1.564E-01,3.074E-02,4.48E-01
10,2.1469E-01,1.736E-01,3.728E-02,4.83E-01
11,2.3091E-01,1.908E-01,4.406E-02,5.14E-01
12,2.4543E-01,2.079E-01,5.103E-02,5.41E-01
13,2.5846E-01,2.250E-01,5.814E-02,5.66E-01
14,2.7023E-01,2.419E-01,6.537E-02,5.88E-01
15,2.8088E-01,2.588E-01,7.270E-02,6.08E-01
16,2.9057E-01,2.756E-01,8.009E-02,6.26E-01
17,2.9941E-01,2.924E-01,8.754E-02,6.43E-01
18,3.0751E-01,3.090E-01,9.503E-02,6.58E-01
19,3.1495E-01,3.256E-01,1.025E-01,6.72E-01
20,3.2180E-01,3.420E-01,1.101E-01,6.84E-01
21,3.2813E-01,3.584E-01,1.176E-01,6.96E-01
22,3.3399E-01,3.746E-01,1.251E-01,7.07E-01
23,3.3943E-01,3.907E-01,1.326E-01,7.17E-01
24,3.4449E-01,4.067E-01,1.401E-01,7.26E-01
25,3.4921E-01,4.226E-01,1.476E-01,7.34E-01
26,3.5362E-01,4.384E-01,1.550E-01,7.42E-01
27,3.5775E-01,4.540E-01,1.624E-01,7.50E-01
28,3.6161E-01,4.695E-01,1.698E-01,7.57E-01
29,3.6525E-01,4.848E-01,1.771E-01,7.63E-01
30,3.6866E-01,5.000E-01,1.843E-01,7.70E-01
31,3.7187E-01,5.150E-01,1.915E-01,7.75E-01
32,3.7490E-01,5.299E-01,1.987E-01,7.81E-01
33,3.7777E-01,5.446E-01,2.057E-01,7.86E-01
34,3.8047E-01,5.592E-01,2.128E-01,7.91E-01
35,3.8303E-01,5.736E-01,2.197E-01,7.95E-01
36,3.8545E-01,5.878E-01,2.266E-01,8.00E-01
37,3.8774E-01,6.018E-01,2.333E-01,8.04E-01
38,3.8992E-01,6.157E-01,2.401E-01,8.08E-01
39,3.9198E-01,6.293E-01,2.467E-01,8.11E-01
40,3.9395E-01,6.428E-01,2.532E-01,8.15E-01
41,3.9581E-01,6.561E-01,2.597E-01,8.18E-01
42,3.9759E-01,6.691E-01,2.660E-01,8.21E-01
43,3.9928E-01,6.820E-01,2.723E-01,8.24E-01
44,4.0089E-01,6.947E-01,2.785E-01,8.27E-01
45,4.0242E-01,7.071E-01,2.846E-01,8.30E-01
46,4.0388E-01,7.193E-01,2.905E-01,8.33E-01
47,4.0527E-01,7.314E-01,2.964E-01,8.35E-01
48,4.0660E-01,7.431E-01,3.022E-01,8.37E-01
49,4.0787E-01,7.547E-01,3.078E-01,8.40E-01
50,4.0908E-01,7.660E-01,3.134E-01,8.42E-01
51,4.1023E-01,7.771E-01,3.188E-01,8.44E-01
52,4.1133E-01,7.880E-01,3.241E-01,8.46E-01
53,4.1238E-01,7.986E-01,3.293E-01,8.48E-01
54,4.1339E-01,8.090E-01,3.344E-01,8.49E-01
55,4.1435E-01,8.192E-01,3.394E-01,8.51E-01
56,4.1526E-01,8.290E-01,3.443E-01,8.53E-01
57,4.1613E-01,8.387E-01,3.490E-01,8.54E-01
58,4.1696E-01,8.480E-01,3.536E-01,8.56E-01
59,4.1776E-01,8.572E-01,3.581E-01,8.57E-01
60,4.1851E-01,8.660E-01,3.624E-01,8.59E-01
61,4.1923E-01,8.746E-01,3.667E-01,8.60E-01
62,4.1992E-01,8.829E-01,3.708E-01,8.61E-01
63,4.2057E-01,8.910E-01,3.747E-01,8.62E-01
64,4.2119E-01,8.988E-01,3.786E-01,8.63E-01
65,4.2178E-01,9.063E-01,3.823E-01,8.64E-01
66,4.2234E-01,9.135E-01,3.858E-01,8.65E-01
67,4.2288E-01,9.205E-01,3.893E-01,8.66E-01
68,4.2338E-01,9.272E-01,3.925E-01,8.67E-01
69,4.2385E-01,9.336E-01,3.957E-01,8.68E-01
70,4.2430E-01,9.397E-01,3.987E-01,8.69E-01
71,4.2473E-01,9.455E-01,4.016E-01,8.69E-01
72,4.2512E-01,9.511E-01,4.043E-01,8.70E-01
73,4.2550E-01,9.563E-01,4.069E-01,8.71E-01
74,4.2585E-01,9.613E-01,4.093E-01,8.71E-01
75,4.2617E-01,9.659E-01,4.117E-01,8.72E-01
76,4.2647E-01,9.703E-01,4.138E-01,8.73E-01
77,4.2675E-01,9.744E-01,4.158E-01,8.73E-01
78,4.2701E-01,9.781E-01,4.177E-01,8.73E-01
79,4.2725E-01,9.816E-01,4.194E-01,8.74E-01
80,4.2746E-01,9.848E-01,4.210E-01,8.74E-01
81,4.2765E-01,9.877E-01,4.224E-01,8.75E-01
82,4.2782E-01,9.903E-01,4.237E-01,8.75E-01
83,4.2798E-01,9.925E-01,4.248E-01,8.75E-01
84,4.2811E-01,9.945E-01,4.258E-01,8.75E-01
85,4.2822E-01,9.962E-01,4.266E-01,8.76E-01
86,4.2831E-01,9.976E-01,4.273E-01,8.76E-01
87,4.2838E-01,9.986E-01,4.278E-01,8.76E-01
88,4.2843E-01,9.994E-01,4.282E-01,8.76E-01
89,4.2846E-01,9.998E-01,4.284E-01,8.76E-01
90,4.2847E-01,,,8.76E-01